PM2.5,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM
5,4,12,200,85,-0.5,1024.5,-21.4,0,NNW,5.7
8,6,14,200,84,-0.7,1025.1,-22.1,0,NW,3.9
3,5,14,200,83,-1.2,1025.3,-24.6,0,NNW,5.3
5,5,14,200,84,-1.4,1026.2,-25.5,0,N,4.9
5,6,21,200,77,-1.9,1027.1,-24.5,0,NNW,3.2
3,13,21,300,77,-2.4,1027.5,-21.3,0,NW,2.4
4,15,32,300,62,-2.5,1028.2,-20.4,0,NW,2.2
3,14,45,400,48,-1.4,1029.5,-20.4,0,NNW,3
3,13,49,400,46,-0.3,1030.4,-21.2,0,NW,4.6
11,9,28,400,68,0.4,1030.5,-23.3,0,N,5.5
3,6,20,300,77,1.4,1030.2,-22.5,0,N,5.2
3,6,19,300,81,2.9,1029.8,-22.9,0,NNW,5.3
3,4,17,300,86,4,1028.6,-21.2,0,W,4.6
3,4,17,300,87,5,1027.8,-21.2,0,NW,4.5
6,4,19,300,86,6.2,1027.6,-22.2,0,NW,4
5,4,18,300,89,6,1027.7,-21.3,0,NNW,2.1
5,4,21,300,85,5.6,1027.7,-20.7,0,N,1.8
10,8,25,400,80,4.4,1028.2,-20.9,0,N,3.5
11,7,27,400,77,3.2,1029.4,-20.3,0,NNW,0.5
11,12,39,400,64,3,1030.1,-19.7,0,N,1.1
10,18,46,500,55,1.6,1031.3,-19,0,ENE,1.2
12,18,50,500,49,0.8,1032.4,-19.7,0,NE,1
17,20,56,600,43,0.1,1032.9,-19.2,0,ENE,1.8
6,17,41,500,57,-0.5,1032.8,-19.7,0,NE,2.1
13,12,40,500,57,-0.7,1033,-18.3,0,E,0.6
3,13,39,500,56,-1.6,1033.2,-17.4,0,ENE,0
3,NA,38,400,52,-2.2,1032.9,-16.7,0,N,0
3,8,30,NA,89,-3.1,1032.6,-15.8,0,N,0
3,7,NA,400,59,-3.1,1032.7,-16.1,0,N,0
3,9,42,400,50,-2.4,1032.1,-18.1,0,NNE,0.8
3,16,57,500,35,-2.3,1031.3,-18.4,0,N,1.5
3,33,61,500,32,-1.9,1031.9,-18.5,0,N,1.4
3,28,50,500,43,-0.9,1031.7,-18,0,NNE,1.6
3,26,39,500,54,0.1,1031.7,-18.1,0,NE,0.5
3,25,43,500,52,1.5,1031.2,-18,0,ENE,0.6
14,25,52,700,46,2.6,1030.2,-18.2,0,SW,3.1
18,24,75,1000,30,3.8,1029,-17.8,0,SSW,1.1
26,29,72,1000,35,3.8,1027.6,-17.8,0,S,1
33,24,59,800,48,3.9,1026.8,-18.3,0,SSW,0.4
24,27,58,1000,50,4.3,1026.2,-18,0,SSW,1.5
42,50,67,1300,44,4.1,1025.4,-16.9,0,SSW,1.9
54,51,72,1200,38,3.2,1025.3,-16,0,WSW,1.3
63,50,75,1100,34,2.2,1025.4,-15.8,0,NE,0.4
64,51,80,1200,28,1.6,1025,-15.4,0,N,0.1
65,54,98,1399,13,0.7,1025,-15.3,0,N,1
69,68,116,2200,6,0.5,1024.8,-15.1,0,N,0.2
83,73,118,2200,6,-1,1024.2,-14.6,0,ENE,0
92,78,108,2899,7,-1.3,1023.2,-14.5,0,N,0
122,86,106,3100,8,-2.2,1022.3,-12.8,0,N,0
134,72,108,3299,7,-1.8,1021.4,-13.3,0,W,0.7
145,76,109,2899,7,-2.4,1020.4,-13.3,0,E,1.3
139,88,111,2200,5,-3.3,1019.4,-12.5,0,ESE,1.2
87,84,107,2500,5,-4.2,1019,-12.6,0,E,0.1
90,77,102,3100,5,-5.2,1018.5,-11.6,0,NE,0.9
118,83,106,3399,6,-5.4,1018.3,-11.3,0,ENE,0
118,74,103,3200,6,-3.3,1018.6,-9.8,0,N,0.1
122,88,105,3200,5,1.2,1018.1,-13.7,0,N,0.8
118,91,102,2600,6,4,1017.6,-13.4,0,SE,0.6
108,102,105,2299,10,6.8,1016.7,-13.5,0,SSW,1.1
104,95,111,2200,14,9.5,1015.6,-13.7,0,W,0.5
106,91,132,2600,14,13.4,1014.4,-13.6,0,WNW,1.8
115,68,130,2399,19,15.5,1013,-13.8,0,NW,4
102,28,66,1200,50,16.4,1012.4,-15.4,0,W,7
56,9,24,500,80,16.6,1012,-15.2,0,WNW,4.7
30,8,28,500,78,15.8,1012.2,-14.7,0,ENE,1.3
27,23,74,1000,56,12.6,1013,-13.4,0,SSW,1.3
63,37,106,1300,35,9.9,1014.1,-10.3,0,WNW,1
94,60,147,1899,10,6.8,1014.9,-9.6,0,W,0
130,58,151,2200,5,5.2,1015.2,-8.3,0,W,0
149,53,143,2399,5,4,1015.4,-9.1,0,N,0.2
134,42,132,2600,5,2.7,1015.8,-8.4,0,WNW,0.4
103,36,128,2799,5,7.1,1016.7,-12.2,0,N,0.4
88,38,119,2899,6,9.9,1017.5,-14.1,0,N,4.9
76,21,58,800,29,9.3,1018.4,-13.9,0,NNW,3.6
26,7,17,400,74,8.4,1018.7,-13.9,0,N,1.5
11,5,14,300,80,7.4,1018.6,-14.2,0,N,3.6
7,8,18,300,74,6.2,1019.6,-15.2,0,NNW,2.7
3,10,22,300,74,6,1020.1,-14.2,0,NW,2.4
3,14,39,400,53,4.2,1020.8,-12.7,0,NW,2
12,20,72,600,20,7.2,1021.5,-12.6,0,NNW,3.2
10,26,75,700,19,8.6,1022.3,-14.4,0,NE,2.8
13,23,51,600,44,9.9,1022.6,-14.8,0,N,2.4
13,16,32,500,68,11.5,1022.3,-14.3,0,N,0
14,8,22,400,80,12.3,1022,-15.4,0,N,2.4
12,11,25,500,81,13.9,1020.6,-16.2,0,N,3.3
3,4,19,400,88,14.8,1019.5,-15.5,0,N,1.4
3,4,21,400,89,15.3,1018.6,-15.1,0,E,1.3
10,4,22,400,92,15.6,1018.1,-14.8,0,SSW,2
5,7,43,600,77,14.7,1017.5,-15.5,0,SW,2.9
19,8,44,600,86,13.2,1017.8,-15.7,0,SW,3
21,6,54,600,82,12.6,1018.3,-13.4,0,SW,2.9
24,11,71,700,59,12,1018.5,-13.1,0,WSW,2.7
32,14,84,900,43,10.9,1018.8,-11.9,0,SE,1.4
40,19,85,900,44,10.2,1018.8,-11.8,0,SW,2
50,23,84,900,45,10,1018.5,-12,0,SW,3
54,45,98,1100,92,9.4,1017.5,-11.3,0,SSW,2.7
69,54,66,1100,92,8.8,1017,-10.7,0,SSW,2.1
74,75,61,1100,92,7.8,1016.5,-10.6,0,SSE,1.3
87,74,63,1100,92,4.7,1016.1,-10.6,0,S,0
93,80,71,1300,92,4.5,1015.7,-9.3,0,N,0
99,88,82,1500,92,1.3,1015.7,-8.8,0,ESE,1.2
116,83,85,1700,92,0.4,1015.7,-9.6,0,ENE,0.8
121,67,103,2500,92,-0.2,1015.5,-8.4,0,ENE,1
116,61,103,3500,92,2.1,1015.4,-8.6,0,E,0.9
125,69,103,3799,92,5,1015.1,-8.9,0,E,1
140,86,118,4299,92,6.7,1014.5,-8.9,0,E,1.3
152,103,140,3799,92,9.1,1013.8,-8.5,0,E,0.9
128,105,152,3700,92,10.9,1012.8,-8.4,0,ESE,1.3
3,98,155,2799,21,12.3,1011.4,-8.8,0,E,0
3,86,162,2600,92,13,1010.1,-8.3,0,ENE,1.5
3,86,196,3000,92,13.3,1009.5,-8,0,ENE,1.6
163,85,211,3000,86,13.8,1009.1,-7.6,0,E,1.9
192,95,195,2700,86,13.2,1009,-7.5,0,ENE,1.8
203,93,163,2100,82,11.6,1009.4,-7.3,0,NNE,0.7
195,92,156,2000,59,9.4,1009.8,-5.7,0,ESE,0.7
185,97,175,2200,48,6.7,1010.4,-5,0,ESE,0.1
203,102,184,2700,48,5.2,1010.7,-4.7,0,N,0
217,117,183,2799,48,4.3,1010.5,-2.6,0,ENE,1
235,123,185,3299,48,4.3,1010.7,-4.2,0,E,0.8
242,122,181,3299,48,4.9,1010.5,-5.8,0,E,0
229,124,182,3299,48,5.6,1010.4,-7,0,NE,0.8
202,117,169,2899,44,3.5,1010.2,-6,0,NNE,0.5
184,NA,158,2399,35,6.3,1009.9,-7,0,NE,1
169,107,155,NA,35,6.3,1009.6,-7,0,NE,0.7
153,87,NA,1899,35,5.1,1009.5,-6.5,0,NE,1
145,93,139,2200,35,4.6,1009.8,-6.3,0,NE,0.7
148,97,138,2500,35,4.1,1010.3,-6.2,0,N,0.8
156,108,131,2399,35,5.3,1011,-6,0,NE,0.9
152,88,119,2399,35,6.9,1010.8,-6.5,0,NNW,1.3
176,88,116,2500,35,8.4,1010.8,-6.6,0,N,0.8
138,96,114,2200,35,8.8,1010.4,-6.2,0,NE,1.1
167,97,112,2100,35,9.5,1009.5,-6,0,ENE,1
172,109,122,2299,35,10.4,1008.5,-5.6,0,ENE,0.2
189,116,131,2500,35,11.5,1007.6,-5.1,0,SSE,0.8
204,118,138,2700,35,13.2,1006.9,-4.5,0,SSW,1
227,119,153,2899,35,14.7,1007,-4.6,0,SW,1.3
237,133,166,3100,35,14.6,1007.2,-4.7,0,SSW,0
232,134,176,3200,30,11.8,1007.9,-4.4,0,W,0.6
232,146,179,3399,14,8.5,1008.5,-4,0,WNW,0
235,142,177,3500,14,8.5,1009.3,-4.4,0,WSW,0.4
235,140,173,3500,14,5.8,1009.9,-3.6,0,WSW,0.2
238,139,165,3700,14,5.3,1009.4,-4,0,WSW,0.7
234,140,158,3700,14,8.3,1009.3,-3.6,0,SE,1.8
234,130,156,4099,14,5,1009.4,-3.3,0,NNE,1
231,121,151,3899,14,2.9,1009.2,-3.2,0,E,0.6
226,126,146,3600,14,2.2,1009,-3.3,0,WSW,1.6
228,122,140,3500,14,3.3,1008.9,-3.3,0,ENE,1.6
230,104,136,3600,14,1.2,1008.3,-3.9,0,SSE,0.4
227,74,153,6500,14,0.9,1008.5,-2.5,0,NE,1.4
